"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1955.346154,64,2082,66,104,46,68,106,716,1094,160,94,170,56,158,206,626,850,356,2126,154,80,334,4,98,10,170,418,16,182,14,586,436,208,26,72,50,236,310,338,146
1955.384615,45,1805,88,112,95,64,218,1245,1242,102,57,230,45,184,280,536,1277,361,1885,97,117,236,3,73,6,438,788,18,203,20,586,593,293,68,115,88,255,534,224,113
1955.423077,35,1171,96,91,169,63,400,1538,1092,103,49,173,26,181,144,357,1375,309,1724,103,73,150,5,36,1,841,839,37,231,15,530,645,209,83,40,79,163,766,82,99
1955.461538,44,777,56,99,154,19,414,1529,539,60,58,122,18,157,96,150,1101,277,1002,115,95,110,6,51,0,817,685,20,173,11,370,457,144,103,38,128,128,706,47,110
1955.5,72,456,59,38,143,11,426,1023,210,20,42,57,7,118,70,68,644,256,663,83,86,74,9,11,4,792,358,9,100,6,190,196,99,102,9,129,62,306,59,55
1955.538462,25,165,57,38,263,9,373,745,107,13,4,28,6,72,38,11,301,154,358,68,102,25,15,6,2,491,149,5,29,3,105,109,28,90,6,152,47,201,23,53
1955.576923,20,85,81,16,229,5,166,325,47,20,6,12,4,32,17,10,124,103,254,51,87,14,20,14,3,273,91,3,5,7,54,76,11,48,2,165,30,140,18,28
1955.615385,14,44,46,0,186,2,84,154,18,22,2,10,4,26,20,10,100,56,164,74,28,8,14,24,4,222,36,4,18,6,34,22,24,34,0,98,8,52,14,26
1955.653846,26,24,42,4,78,5,41,55,32,15,5,3,4,20,9,16,16,57,134,59,35,9,15,14,3,91,19,1,3,3,12,13,11,14,4,47,16,25,4,5
1955.692308,8,17,13,4,25,2,14,20,7,3,0,3,2,4,6,8,2,38,60,32,23,4,3,1,0,17,14,3,2,3,15,5,3,9,2,29,7,10,0,6
1955.730769,27,18,8,3,3,1,8,11,9,2,0,2,2,6,4,6,6,44,57,30,33,4,0,1,2,6,2,4,0,2,2,17,0,16,2,22,5,4,2,4
1955.769231,30,24,9,0,9,1,15,5,4,2,1,0,1,1,0,2,6,27,74,19,36,0,0,1,0,7,2,3,2,1,2,0,0,40,1,31,1,1,0,3
1955.807692,20,14,5,2,6,4,14,3,5,1,0,0,1,4,0,5,3,29,61,23,41,0,3,1,0,5,1,6,0,0,5,0,0,66,3,39,3,3,3,2
1955.846154,20,10,0,2,8,2,10,2,6,0,0,0,2,4,0,12,0,50,72,20,54,8,0,2,4,2,0,2,0,0,8,4,0,50,0,40,2,0,0,0
1955.884615,21,18,3,2,16,1,13,2,3,4,0,8,0,0,1,1,2,133,59,21,48,3,2,1,3,11,1,2,0,0,11,0,1,59,1,65,2,2,4,0
1955.923077,16,13,0,1,37,1,9,6,7,2,0,0,0,5,2,1,0,42,42,13,46,7,0,8,4,0,3,0,0,0,19,0,0,57,1,110,7,1,0,0
1955.961538,31,13,1,1,9,1,1,2,15,0,1,0,4,1,0,3,1,26,28,17,51,9,1,1,1,0,4,1,1,0,16,1,0,57,1,76,6,4,1,1
1956,38,36,2,2,6,2,2,4,30,5,1,1,4,3,2,3,2,28,50,40,84,14,9,2,6,4,6,1,0,1,16,8,1,62,1,136,6,22,0,2
1956.038462,30,14,0,6,2,1,10,2,24,2,2,1,0,4,4,4,0,37,42,19,74,20,16,8,3,7,16,0,3,0,5,11,2,46,1,63,2,22,1,3
1956.076923,83,6,0,2,1,0,24,2,18,1,1,0,5,1,0,6,5,66,77,32,70,16,26,6,5,22,33,2,6,5,8,21,0,33,3,29,5,42,0,1
1956.115385,40,4,0,0,0,2,38,0,6,4,0,0,0,14,0,2,30,94,122,38,66,24,58,8,16,10,18,0,20,6,22,6,0,10,4,24,6,20,2,2
1956.153846,41,10,0,2,1,5,57,7,3,2,0,1,3,33,0,4,10,88,125,38,109,10,119,13,15,17,32,0,24,2,7,10,1,15,2,32,9,14,0,14
